"Year","Industries_luok","Municipality","Bankruptcies instigated, number of enterprises","Bankruptcies instigated, number of employees"
"2021","Trade","Rautalampi",1,1
"2021","Trade","Rautavaara",1,1
"2021","Trade","Rautjärvi",0,0
"2021","Trade","Reisjärvi",0,0
"2021","Trade","Riihimäki",4,5
"2021","Trade","Ristijärvi",0,0
"2021","Trade","Rovaniemi",8,17
"2021","Trade","Ruokolahti",0,0
"2021","Trade","Ruovesi",1,1
"2021","Trade","Rusko",0,0
"2021","Trade","Rääkkylä",0,0
"2021","Trade","Saarijärvi",0,0
"2021","Trade","Salla",0,0
"2021","Trade","Salo",6,9
"2021","Trade","Saltvik",0,0
"2021","Trade","Sastamala",2,2
"2021","Trade","Sauvo",0,0
"2021","Trade","Savitaipale",0,0
"2021","Trade","Savonlinna",3,15
"2021","Trade","Savukoski",0,0
"2021","Trade","Seinäjoki",10,17
"2021","Trade","Sievi",0,0
"2021","Trade","Siikainen",0,0
"2021","Trade","Siikajoki",0,0
"2021","Trade","Siikalatva",0,0
"2021","Trade","Siilinjärvi",2,2
"2021","Trade","Simo",0,0
"2021","Trade","Sipoo",5,10
"2021","Trade","Siuntio",0,0
"2021","Trade","Sodankylä",0,0
"2021","Trade","Soini",0,0
"2021","Trade","Somero",1,2
"2021","Trade","Sonkajärvi",0,0
"2021","Trade","Sotkamo",2,3
"2021","Trade","Sottunga",0,0
"2021","Trade","Sulkava",0,0
"2021","Trade","Sund",0,0
"2021","Trade","Suomussalmi",1,1
"2021","Trade","Suonenjoki",0,0
"2021","Trade","Sysmä",0,0
"2021","Trade","Säkylä",0,0
"2021","Trade","Taipalsaari",0,0
"2021","Trade","Taivalkoski",0,0
"2021","Trade","Taivassalo",0,0
"2021","Trade","Tammela",0,0
"2021","Trade","Tampere",25,71
"2021","Trade","Tervo",0,0
"2021","Trade","Tervola",0,0
"2021","Trade","Teuva",0,0
"2021","Trade","Tohmajärvi",0,0
"2021","Trade","Toholampi",0,0
"2021","Trade","Toivakka",0,0
"2021","Trade","Tornio",2,2
"2021","Trade","Turku",15,51
"2021","Trade","Tuusniemi",0,0
"2021","Trade","Tuusula",3,3
"2021","Trade","Tyrnävä",0,0
"2021","Trade","Ulvila",1,1
"2021","Trade","Urjala",0,0
"2021","Trade","Utajärvi",1,1
"2021","Trade","Utsjoki",0,0
"2021","Trade","Uurainen",0,0
"2021","Trade","Nykarleby",0,0
"2021","Trade","Uusikaupunki",1,1
"2021","Trade","Vaala",0,0
"2021","Trade","Vaasa",5,25
"2021","Trade","Valkeakoski",0,0
"2021","Trade","Vantaa",18,76
"2021","Trade","Varkaus",2,4
"2021","Trade","Vehmaa",0,0
"2021","Trade","Vesanto",0,0
"2021","Trade","Vesilahti",0,0
"2021","Trade","Veteli",0,0
"2021","Trade","Vieremä",2,3
"2021","Trade","Vihti",2,2
"2021","Trade","Viitasaari",0,0
"2021","Trade","Vimpeli",0,0
"2021","Trade","Virolahti",0,0
"2021","Trade","Virrat",0,0
"2021","Trade","Vårdö",0,0
"2021","Trade","Vörå",0,0
"2021","Trade","Ylitornio",0,0
"2021","Trade","Ylivieska",2,10
"2021","Trade","Ylöjärvi",3,8
"2021","Trade","Ypäjä",1,3
"2021","Trade","Ähtäri",1,2
"2021","Trade","Äänekoski",0,0
"2021","Transport and storage","WHOLE COUNTRY",193,1322
"2021","Transport and storage","Akaa",1,16
"2021","Transport and storage","Alajärvi",0,0
"2021","Transport and storage","Alavieska",0,0
"2021","Transport and storage","Alavus",0,0
"2021","Transport and storage","Asikkala",1,1
"2021","Transport and storage","Askola",0,0
"2021","Transport and storage","Aura",0,0
"2021","Transport and storage","Brändö",0,0
"2021","Transport and storage","Eckerö",0,0
"2021","Transport and storage","Enonkoski",1,1
"2021","Transport and storage","Enontekiö",0,0
"2021","Transport and storage","Espoo",8,18
"2021","Transport and storage","Eura",0,0
"2021","Transport and storage","Eurajoki",1,4
"2021","Transport and storage","Evijärvi",0,0
"2021","Transport and storage","Finström",0,0
"2021","Transport and storage","Forssa",0,0
"2021","Transport and storage","Föglö",0,0
"2021","Transport and storage","Geta",0,0
"2021","Transport and storage","Haapajärvi",0,0
"2021","Transport and storage","Haapavesi",0,0
"2021","Transport and storage","Hailuoto",0,0
"2021","Transport and storage","Halsua",0,0
"2021","Transport and storage","Hamina",0,0
"2021","Transport and storage","Hammarland",0,0
"2021","Transport and storage","Hankasalmi",0,0
"2021","Transport and storage","Hanko",0,0
"2021","Transport and storage","Harjavalta",0,0
"2021","Transport and storage","Hartola",0,0
"2021","Transport and storage","Hattula",1,1
"2021","Transport and storage","Hausjärvi",0,0
"2021","Transport and storage","Heinola",0,0
"2021","Transport and storage","Heinävesi",0,0
"2021","Transport and storage","Helsinki",27,251
"2021","Transport and storage","Hirvensalmi",0,0
"2021","Transport and storage","Hollola",3,79
"2021","Transport and storage","Huittinen",0,0
"2021","Transport and storage","Humppila",0,0
"2021","Transport and storage","Hyrynsalmi",0,0
"2021","Transport and storage","Hyvinkää",1,8
"2021","Transport and storage","Hämeenkyrö",0,0
"2021","Transport and storage","Hämeenlinna",4,33
"2021","Transport and storage","Ii",1,5
"2021","Transport and storage","Iisalmi",1,4
"2021","Transport and storage","Iitti",0,0
"2021","Transport and storage","Ikaalinen",0,0
"2021","Transport and storage","Ilmajoki",0,0
"2021","Transport and storage","Ilomantsi",0,0
"2021","Transport and storage","Imatra",0,0
"2021","Transport and storage","Inari",0,0
"2021","Transport and storage","Ingå",0,0
"2021","Transport and storage","Isojoki",0,0
"2021","Transport and storage","Isokyrö",0,0
"2021","Transport and storage","Janakkala",0,0
"2021","Transport and storage","Joensuu",1,3
"2021","Transport and storage","Jokioinen",1,10
"2021","Transport and storage","Jomala",0,0
"2021","Transport and storage","Joroinen",0,0
"2021","Transport and storage","Joutsa",0,0
"2021","Transport and storage","Juuka",0,0
"2021","Transport and storage","Juupajoki",0,0
"2021","Transport and storage","Juva",0,0
"2021","Transport and storage","Jyväskylä",4,13
"2021","Transport and storage","Jämijärvi",0,0
"2021","Transport and storage","Jämsä",3,12
"2021","Transport and storage","Järvenpää",0,0
"2021","Transport and storage","Kaarina",2,2
"2021","Transport and storage","Kaavi",0,0
"2021","Transport and storage","Kajaani",1,4
"2021","Transport and storage","Kalajoki",1,1
"2021","Transport and storage","Kangasala",3,37
"2021","Transport and storage","Kangasniemi",0,0
"2021","Transport and storage","Kankaanpää",1,3
"2021","Transport and storage","Kannonkoski",0,0
"2021","Transport and storage","Kannus",0,0
"2021","Transport and storage","Karijoki",0,0
"2021","Transport and storage","Karkkila",2,29
"2021","Transport and storage","Karstula",0,0
"2021","Transport and storage","Karvia",1,2
"2021","Transport and storage","Kaskinen",0,0
"2021","Transport and storage","Kauhajoki",0,0
"2021","Transport and storage","Kauhava",0,0
"2021","Transport and storage","Kauniainen",0,0
"2021","Transport and storage","Kaustinen",0,0
"2021","Transport and storage","Keitele",0,0
"2021","Transport and storage","Kemi",1,1
"2021","Transport and storage","Kemijärvi",0,0
"2021","Transport and storage","Keminmaa",1,1
"2021","Transport and storage","Kimitoön",1,4
"2021","Transport and storage","Kempele",1,3
"2021","Transport and storage","Kerava",0,0
"2021","Transport and storage","Keuruu",1,27
"2021","Transport and storage","Kihniö",0,0
"2021","Transport and storage","Kinnula",0,0
"2021","Transport and storage","Kirkkonummi",2,2
"2021","Transport and storage","Kitee",0,0
"2021","Transport and storage","Kittilä",0,0
"2021","Transport and storage","Kiuruvesi",0,0
"2021","Transport and storage","Kivijärvi",0,0
"2021","Transport and storage","Kokemäki",0,0
"2021","Transport and storage","Kokkola",2,5
"2021","Transport and storage","Kolari",0,0
"2021","Transport and storage","Konnevesi",0,0
"2021","Transport and storage","Kontiolahti",1,1
"2021","Transport and storage","Korsnäs",0,0
"2021","Transport and storage","Koski Tl",0,0
"2021","Transport and storage","Kotka",0,0
"2021","Transport and storage","Kouvola",3,11
"2021","Transport and storage","Kristinestad",0,0
"2021","Transport and storage","Kronoby",0,0
"2021","Transport and storage","Kuhmo",0,0
"2021","Transport and storage","Kuhmoinen",0,0
"2021","Transport and storage","Kumlinge",0,0
"2021","Transport and storage","Kuopio",3,46
"2021","Transport and storage","Kuortane",0,0
"2021","Transport and storage","Kurikka",1,5
"2021","Transport and storage","Kustavi",0,0
"2021","Transport and storage","Kuusamo",0,0
"2021","Transport and storage","Kyyjärvi",0,0
"2021","Transport and storage","Kärkölä",0,0
"2021","Transport and storage","Kärsämäki",1,56
"2021","Transport and storage","Kökar",0,0
"2021","Transport and storage","Lahti",3,22
"2021","Transport and storage","Laihia",0,0
"2021","Transport and storage","Laitila",0,0
"2021","Transport and storage","Lapinjärvi",0,0
"2021","Transport and storage","Lapinlahti",0,0
"2021","Transport and storage","Lappajärvi",0,0
"2021","Transport and storage","Lappeenranta",2,10
"2021","Transport and storage","Lapua",1,1
"2021","Transport and storage","Laukaa",2,5
"2021","Transport and storage","Lemi",0,0
"2021","Transport and storage","Lemland",0,0
"2021","Transport and storage","Lempäälä",1,2
"2021","Transport and storage","Leppävirta",0,0
"2021","Transport and storage","Lestijärvi",0,0
"2021","Transport and storage","Lieksa",0,0
"2021","Transport and storage","Lieto",1,6
"2021","Transport and storage","Liminka",0,0
"2021","Transport and storage","Liperi",0,0
"2021","Transport and storage","Lohja",0,0
"2021","Transport and storage","Loimaa",1,1
"2021","Transport and storage","Loppi",0,0
"2021","Transport and storage","Loviisa",0,0
"2021","Transport and storage","Luhanka",0,0
"2021","Transport and storage","Lumijoki",0,0
"2021","Transport and storage","Lumparland",0,0
"2021","Transport and storage","Larsmo",0,0
"2021","Transport and storage","Luumäki",1,3
"2021","Transport and storage","Malax",1,1
"2021","Transport and storage","Mariehamn",0,0
"2021","Transport and storage","Marttila",0,0
"2021","Transport and storage","Masku",1,14
"2021","Transport and storage","Merijärvi",0,0
"2021","Transport and storage","Merikarvia",0,0
"2021","Transport and storage","Miehikkälä",0,0
"2021","Transport and storage","Mikkeli",3,15
"2021","Transport and storage","Muhos",0,0
"2021","Transport and storage","Multia",0,0
"2021","Transport and storage","Muonio",0,0
"2021","Transport and storage","Korsholm",1,1
"2021","Transport and storage","Muurame",0,0
"2021","Transport and storage","Mynämäki",0,0
"2021","Transport and storage","Myrskylä",0,0
"2021","Transport and storage","Mäntsälä",1,4
"2021","Transport and storage","Mänttä-Vilppula",0,0
"2021","Transport and storage","Mäntyharju",1,2
"2021","Transport and storage","Naantali",0,0
"2021","Transport and storage","Nakkila",0,0
"2021","Transport and storage","Nivala",0,0
"2021","Transport and storage","Nokia",0,0
"2021","Transport and storage","Nousiainen",0,0
"2021","Transport and storage","Nurmes",1,1
"2021","Transport and storage","Nurmijärvi",1,1
"2021","Transport and storage","Närpes",0,0
"2021","Transport and storage","Orimattila",1,4
"2021","Transport and storage","Oripää",0,0
"2021","Transport and storage","Orivesi",0,0
"2021","Transport and storage","Oulainen",0,0
"2021","Transport and storage","Oulu",6,24
"2021","Transport and storage","Outokumpu",0,0
"2021","Transport and storage","Padasjoki",0,0
"2021","Transport and storage","Paimio",0,0
"2021","Transport and storage","Paltamo",0,0
"2021","Transport and storage","Pargas",0,0
"2021","Transport and storage","Parikkala",0,0
"2021","Transport and storage","Parkano",0,0
"2021","Transport and storage","Pedersöre",0,0
"2021","Transport and storage","Pelkosenniemi",0,0
"2021","Transport and storage","Pello",0,0
"2021","Transport and storage","Perho",0,0
"2021","Transport and storage","Petäjävesi",0,0
"2021","Transport and storage","Pieksämäki",0,0
"2021","Transport and storage","Pielavesi",0,0
"2021","Transport and storage","Jakobstad",0,0
"2021","Transport and storage","Pihtipudas",0,0
"2021","Transport and storage","Pirkkala",0,0
"2021","Transport and storage","Polvijärvi",0,0
"2021","Transport and storage","Pomarkku",0,0
"2021","Transport and storage","Pori",2,8
"2021","Transport and storage","Pornainen",0,0
"2021","Transport and storage","Porvoo",2,11
"2021","Transport and storage","Posio",0,0
"2021","Transport and storage","Pudasjärvi",0,0
"2021","Transport and storage","Pukkila",0,0
"2021","Transport and storage","Punkalaidun",0,0
"2021","Transport and storage","Puolanka",0,0
"2021","Transport and storage","Puumala",0,0
"2021","Transport and storage","Pyhtää",1,1
"2021","Transport and storage","Pyhäjoki",0,0
"2021","Transport and storage","Pyhäjärvi",1,2
"2021","Transport and storage","Pyhäntä",0,0
"2021","Transport and storage","Pyhäranta",1,2
"2021","Transport and storage","Pälkäne",1,2
"2021","Transport and storage","Pöytyä",0,0
"2021","Transport and storage","Raahe",0,0
"2021","Transport and storage","Raseborg",1,1
"2021","Transport and storage","Raisio",1,1
"2021","Transport and storage","Rantasalmi",0,0
"2021","Transport and storage","Ranua",0,0
"2021","Transport and storage","Rauma",2,25
"2021","Transport and storage","Rautalampi",0,0
"2021","Transport and storage","Rautavaara",0,0
"2021","Transport and storage","Rautjärvi",0,0
"2021","Transport and storage","Reisjärvi",0,0
"2021","Transport and storage","Riihimäki",0,0
"2021","Transport and storage","Ristijärvi",0,0
"2021","Transport and storage","Rovaniemi",2,29
"2021","Transport and storage","Ruokolahti",0,0
"2021","Transport and storage","Ruovesi",0,0
"2021","Transport and storage","Rusko",0,0
"2021","Transport and storage","Rääkkylä",0,0
"2021","Transport and storage","Saarijärvi",0,0
"2021","Transport and storage","Salla",0,0
"2021","Transport and storage","Salo",3,23
"2021","Transport and storage","Saltvik",0,0
"2021","Transport and storage","Sastamala",1,2
"2021","Transport and storage","Sauvo",0,0
"2021","Transport and storage","Savitaipale",0,0
"2021","Transport and storage","Savonlinna",3,8
"2021","Transport and storage","Savukoski",0,0
"2021","Transport and storage","Seinäjoki",4,27
"2021","Transport and storage","Sievi",0,0
"2021","Transport and storage","Siikainen",0,0
"2021","Transport and storage","Siikajoki",0,0
"2021","Transport and storage","Siikalatva",0,0
"2021","Transport and storage","Siilinjärvi",1,21
"2021","Transport and storage","Simo",0,0
"2021","Transport and storage","Sipoo",0,0
"2021","Transport and storage","Siuntio",0,0
"2021","Transport and storage","Sodankylä",0,0
"2021","Transport and storage","Soini",0,0
"2021","Transport and storage","Somero",0,0
"2021","Transport and storage","Sonkajärvi",1,1
"2021","Transport and storage","Sotkamo",0,0
"2021","Transport and storage","Sottunga",0,0
"2021","Transport and storage","Sulkava",0,0
"2021","Transport and storage","Sund",0,0
"2021","Transport and storage","Suomussalmi",0,0
"2021","Transport and storage","Suonenjoki",0,0
"2021","Transport and storage","Sysmä",0,0
"2021","Transport and storage","Säkylä",1,2
"2021","Transport and storage","Taipalsaari",0,0
"2021","Transport and storage","Taivalkoski",0,0
"2021","Transport and storage","Taivassalo",0,0
"2021","Transport and storage","Tammela",1,1
"2021","Transport and storage","Tampere",6,41
"2021","Transport and storage","Tervo",0,0
"2021","Transport and storage","Tervola",0,0
"2021","Transport and storage","Teuva",0,0
"2021","Transport and storage","Tohmajärvi",0,0
"2021","Transport and storage","Toholampi",2,122
"2021","Transport and storage","Toivakka",0,0
"2021","Transport and storage","Tornio",1,2
"2021","Transport and storage","Turku",5,47
"2021","Transport and storage","Tuusniemi",0,0
"2021","Transport and storage","Tuusula",4,10
"2021","Transport and storage","Tyrnävä",0,0
"2021","Transport and storage","Ulvila",1,1
"2021","Transport and storage","Urjala",1,6
"2021","Transport and storage","Utajärvi",0,0
"2021","Transport and storage","Utsjoki",0,0
"2021","Transport and storage","Uurainen",0,0
"2021","Transport and storage","Nykarleby",0,0
"2021","Transport and storage","Uusikaupunki",0,0
"2021","Transport and storage","Vaala",0,0
"2021","Transport and storage","Vaasa",1,4
"2021","Transport and storage","Valkeakoski",2,10
